objectid,title,creator,date,date-is-approximate?,Medium,description,identifier,dimensions,artist bio,artist quote,subject,location,latitude,longitude,source,type,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,credit_line,Nationality,Period,parentid
acm_011,Untitled,Sharon Richardson,,,Oil on canvas,,ACM.2022.007,15 x 16 in.,,,,,,,,,,,,image,/objects/acm_011.png,/objects/acm_011.png,/objects/acm_011.png,,,City of Jackson Permanent Collection,,,city of Jackson 44965
acm_012,Let the Sunshine In,Francine L Greenlee,,,Watercolor on Paper,,ACM.2022.008,8.5 x 14 in.,,,,,,,,,,,,image,/objects/acm_012.png,/objects/acm_012.png,/objects/acm_012.png,,,City of Jackson Permanent Collection,,,
acm_013,Tulips in the Light,Sarah Beaugez,2000,FALSE,Photography,,ACM.2000.002,9.5 x 13 in.,,,,,,,,,,,,image,/objects/acm_013.png,/objects/acm_013.png,/objects/acm_013.png,,,,,,
acm_014,Purple Cape,Eleanor Graves,,,Oil on Canvas,,ACM.2022.009,13.5 x 13. 5 in.,,,,,,,,,,,,image,/objects/acm_014.png,/objects/acm_014.png,/objects/acm_014.png,,,,,,city of jackson 44971
acm_015,Mushrooms,Lindsey,,,Watercolor and acylic on paper,,ACM.2022.010,8 x 11 in.,,,,,,,,,,,,image,/objects/acm_015.png,/objects/acm_015.png,/objects/acm_015.png,,,,,,
acm_016,"Ligon-Gale Home, Municipal Art Gallery",H Radcliffe,,,Ink pen on paper,,ACM.2022.011,12.5 x 10 in.,,,,,,,,,,,,image,/objects/acm_016.png,/objects/acm_016.png,/objects/acm_016.png,,,,,,
acm_017,Untitled,C S Langston,2007,FALSE,Watercolor on Paper,,ACM.2007.001,8 x 11 in.,,,,,,,,,,,,image,/objects/acm_017.png,/objects/acm_017.png,/objects/acm_017.png,,,,,,
acm_018,Untitled,Stanley Robinson,,,Oil on canvas,,ACM.2022.012,11 x 15 in.,,,,,,,,,,,,image,/objects/acm_018.png,/objects/acm_018.png,/objects/acm_018.png,,,,,,city of jackson 44904
acm_019,Man with head wrap,John Derby,,,Oil pastel on paper,,ACM.2022.013,11 x 14 in.,,,,,,,,,,,,image,/objects/acm_019.png,/objects/acm_019.png,/objects/acm_019.png,,,,,,
acm_020,Two Onions and One Tomato,Robert Burns,1987,FALSE,Oil on canvas,,ACM.1987.001,11.5 x 9 in.,,,,,,,,,,,,image,/objects/acm_020.png,/objects/acm_020.png,/objects/acm_020.png,,,,,,
acm_021,Untitled,Tommy Smith Vaniz,,,Watercolor and acylic on paper,,ACM.2022.014,6 x 9 in.,,,,,,,,,,,,image,/objects/acm_021.png,/objects/acm_021.png,/objects/acm_021.png,,,,,,
acm_022,Untitled,,,,Oil pastel on paper,Portrait,ACM.2022.015,15 x 19 in.,,,,,,,,,,,,image,/objects/acm_022.png,/objects/acm_022.png,/objects/acm_022.png,,,,,,
acm_023,Untitled,,,,Oil on canvas,Landscape and castle,ACM.2022.016,19 x 10.5 in.,,,,,,,,,,,,image,/objects/acm_023.png,/objects/acm_023.png,/objects/acm_023.png,,,,,,
acm_024,Untitled,Jack Olson,1986,FALSE,Watercolor on Paper,Log pile,ACM.1986.001,21 x 14 in.,,,,,,,,,,,,image,/objects/acm_024.png,/objects/acm_024.png,/objects/acm_024.png,,,,,,
acm_025,Geranium,Yvette Sturgis,,,Print,,ACM.2022.017,19 x 22 in.,,,,,,,,,,,,image,/objects/acm_025.png,/objects/acm_025.png,/objects/acm_025.png,,,,,,
acm_026,"The Old Door, Natchez",Henry Gurley,1978,FALSE,Photographic print on canvas,,ACM.1978.001,11 x 14 in.,,,,,,,,,,,,image,/objects/acm_026.png,/objects/acm_026.png,/objects/acm_026.png,,,,,,44910
acm_027,Untitled,C S Langston,2000,FALSE,oil on canvas,,ACM.2000.003,24 x 18 on.,,,,,,,,,,,,image,/objects/acm_027.png,/objects/acm_027.png,/objects/acm_027.png,,,,,,
acm_028,Untitled,Yvette Sturgis,1985,FALSE,oil on canvas,,ACM.1985.001,20 x 10 in.,,,,,,,,,,,,image,/objects/acm_028.png,/objects/acm_028.png,/objects/acm_028.png,,,,,,
acm_029,Flowers in Blue Vase,Bewey Bowden,,,Oil on canvas,,ACM.2022.018,12 x 24 in.,,,,,,,,,,,,image,/objects/acm_029.png,/objects/acm_029.png,/objects/acm_029.png,,,,,,44972
acm_030,Harvest,Landrough Miller,2007,FALSE,Watercolor on paper,,ACM.2007.002,9.5 x 7.5 in.,,,,,,,,,,,,image,/objects/acm_030.png,/objects/acm_030.png,/objects/acm_030.png,,,,,,
acm_031,Rosalie,Doris. B. Nunn,1963,FALSE,Watercolor on paper,,ACM.1963.001,20 x 14 in.,,,,,,,,,,,,image,/objects/acm_031.png,/objects/acm_031.png,/objects/acm_031.png,,,,,,
acm_032,7/25,Susan Habeeb,1979,FALSE,Photographic print on canvas,,ACM.1979.001,19 x 15 in.,,,,,,,,,,,,image,/objects/acm_032.png,/objects/acm_032.png,/objects/acm_032.png,,,,,,1987
acm_033,Jack Dison,,,,Water color on paper,,ACM.2022.019,21 x 14 in.,,,,,,,,,,,,image,/objects/acm_033.png,/objects/acm_033.png,/objects/acm_033.png,,,,,,44979
acm_034,Untitled,,,,acrylic on canvas,landscape,ACM.2022.020,4 x 6 in.,,,,,,,,,,,,image,/objects/acm_034.png,/objects/acm_034.png,/objects/acm_034.png,,,,,,
acm_035,Untitled,,,,acrylic on canvas,watermelon,ACM.2022.021,8 x 10 in.,,,,,,,,,,,,image,/objects/acm_035.png,/objects/acm_035.png,/objects/acm_035.png,,,,,,
acm_036,Untitled,,2007,FALSE,watercolor on paper,,ACM.2007.003,4 x 6 in.,,,,,,,,,,,,image,/objects/acm_036.png,/objects/acm_036.png,/objects/acm_036.png,,,,,,
acm_037,Thrashers,Harry Maddox,1984,FALSE,watercolor on paper,,ACM.1984.001,12 x 17 in.,,,,,,,,,,,,image,/objects/acm_037.png,/objects/acm_037.png,/objects/acm_037.png,,,,,,44926
acm_038,Under Glass,Gerald Marley,,,watercolor on paper,,ACM.2022.022,16 x 18 in.,,,,,,,,,,,,image,/objects/acm_038.png,/objects/acm_038.png,/objects/acm_038.png,,,,,,
acm_039,Falling Colors,,,,Acrylic and shellac on Paper,,ACM.2022.023,11 x 14 in.,,,,,,,,,,,,image,/objects/acm_039.png,/objects/acm_039.png,/objects/acm_039.png,,,,,,
acm_040,Untitled,Laurel Schoolar,,,Oil pastel on paper,,ACM.2022.024,8 x 10 in.,,,,,,,,,,,,image,/objects/acm_040.png,/objects/acm_040.png,/objects/acm_040.png,,,,,,
acm_041,"Gymnasts for Peace, Kyoto, Japan",Susan Brumfiled,1981,FALSE,Photograph,,ACM.1981.001,8 x 10.5 in.,,,,,,,,,,,,image,/objects/acm_041.png,/objects/acm_041.png,/objects/acm_041.png,,,,,,
acm_042,Untitled,N P Mauldin,,,Acrylic on canvas,,ACM.2022.025,15 x 11 in.,,,,,,,,,,,,image,/objects/acm_042.jpg,/objects/acm_042.jpg,/objects/acm_042.jpg,,,,,,44946
acm_043,Fruit Good and Bad,Landrough Miller,2007,FALSE,Watercolor on paper,,ACM.2007.004,9.5 x 8 in.,,,,,,,,,,,,image,/objects/acm_043.jpg,/objects/acm_043.jpg,/objects/acm_043.jpg,,,,,,
acm_044,Untitled,Mildred Nungester Wolfe,1955,FALSE,Oil on canvas,,ACM.1955.001,12 x 16 in.,,,,,,,,,,,,image,/objects/acm_044.png,/objects/small/acm_044_small.jpg,/objects/thumbs/acm_044_thumb.jpg,,,,,,44911
acm_045,Beholder's Beauty,Jeffrey Yentz,,,Pen on paper,,ACM.2022.026,23 x 18 in.,,,,,,,,,,,,image,/objects/acm_045.png,/objects/acm_045.png,/objects/acm_045.png,,,,,,
acm_046,Lost Jackson,Jeffrey Yentz,,,Pen on paper,,ACM.2022.027,23 x 18in.,,,,,,,,,,,,image,/objects/acm_046.png,/objects/acm_046.png,/objects/acm_046.png,,,,,,
acm_047,Houses not homes,Jeffrey Yentz,,,Pen on paper,,ACM.2022.028,18 x 23 in.,,,,,,,,,,,,image,/objects/acm_047.png,/objects/acm_047.png,/objects/acm_047.png,,,,,,
acm_048,Untitled,R T Clerk,2008,FALSE,Pencil on paper,,ACM.2008.001,24 x 19 in.,,,,,,,,,,,,image,/objects/acm_048.png,/objects/acm_048.png,/objects/acm_048.png,,,,,,
acm_049,Untitled,Laurel Schoolar,1997 reword 2009,TRUE,OIl on canvas,,ACM.1997.001,22 x 28 in.,,,,,,,,,,,,image,/objects/acm_049.png,/objects/acm_049.png,/objects/acm_049.png,,,,,,
acm_050,Untitled,C Bennett,2008,FALSE,Pencil on paper,,ACM.2008.002,17 x 20 in.,,,,,,,,,,,,image,/objects/acm_050.png,/objects/acm_050.png,/objects/acm_050.png,,,,,,
acm_051,Untitled,Laurel Schoolar,,,Watercolor on paper,,ACM.2022.029,17 x 21 in.,,,,,,,,,,,,image,/objects/acm_051.png,/objects/acm_051.png,/objects/acm_051.png,,,,,,
acm_052,Untitled,Benton,1988,FALSE,Acrylic on paper,,ACM.1988.001,15 x 22 in.,,,,,,,,,,,,image,/objects/acm_052.png,/objects/acm_052.png,/objects/acm_052.png,,,,,,
acm_053,Untitled,Ann Walker,,,Watercolor on paper,,ACM.2022.030,23 x 16 in.,,,,,,,,,,,,image,/objects/acm_053.png,/objects/acm_053.png,/objects/acm_053.png,,,,,,
acm_054,Magnolia,Laurel Schoolar,,,Watercolor on Paper,,ACM.2022.031,24 x 19 in.,,,,,,,,,,,,image,/objects/acm_054.png,/objects/acm_054.png,/objects/acm_054.png,,,,,,
acm_055,Untitled,,,,Watercolor on paper,,ACM.2022.032,15 x 23 in.,,,,,,,,,,,,image,/objects/acm_055.png,/objects/acm_055.png,/objects/acm_055.png,,,,,,
acm_056,Untitled,MM,2008,FALSE,Oil pastel on paper,,ACM.2008.003,23 x 18 in.,,,,,,,,,,,,image,/objects/acm_056.png,/objects/acm_056.png,/objects/acm_056.png,,,,,,
acm_057,Bull Moose Sax,Jeffrey Yentz,,,Pen on Paper,,ACM.2022.033,18 x 23 in.,,,,,,,,,,,,image,/objects/acm_057.png,/objects/acm_057.png,/objects/acm_057.png,,,,,,
acm_058,Guineas 30 / 100,Ann Bidenbarn Jones,,,Screen print on paper,,ACM.2022.034,36 x 25 in.,,,,,,,,,,,,image,/objects/acm_058.png,/objects/acm_058.png,/objects/acm_058.png,,,,,,
acm_059,Municipal Art Gallery,Barbard Lee,,,Watercolor and acrylic on paper,,ACM.2022.035,15 x 14 in.,,,,,,,,,,,,image,/objects/acm_059.png,/objects/acm_059.png,/objects/acm_059.png,,,,,,
acm_060,Untitled,Rose,,,Watercolor on paper,,ACM.2022.036,7 x 10 in.,,,,,,,,,,,,image,/objects/acm_060.png,/objects/acm_060.png,/objects/acm_060.png,,,,,,
acm_061,Festival,Peggy Ederington,,,Acrylic on paper,,ACM.2022.037,17 x 15 in.,,,,,,,,,,,,image,/objects/acm_061.png,/objects/acm_061.png,/objects/acm_061.png,,,,,,
acm_062,Flamingo Cover,D Vick,,,Watercolor and glitter on paper,,ACM.2022.038,17 x 24 in.,,,,,,,,,,,,image,/objects/acm_062.png,/objects/acm_062.png,/objects/acm_062.png,,,,,,
acm_063,No Serving,Jeffrey Yentz,,,Pen on paper,,ACM.2022.039,23 x 18 in.,,,,,,,,,,,,image,/objects/acm_063.png,/objects/acm_063.png,/objects/acm_063.png,,,,,,
acm_064,Reservoir Meet,Kenneth M Quinn,1966,FALSE,Watercolor on paper,,ACM.1966.001,"28 x 20 """,,,,,,,,,,,,image,/objects/acm_064.png,/objects/acm_064.png,/objects/acm_064.png,,,,,,
acm_065,Deep Country,Mildred Nungester Wolfe,1923,FALSE,Watercolor on paper,,ACM.1923.001,23 x 17 in.,,,,,,,,,,,,image,/objects/acm_065.png,/objects/acm_065.png,/objects/acm_065.png,,,,,,
acm_066,Work of Your Hands,Iris Paris,,,Oil on Canvas,,ACM.2022.040,20 x 16 in.,,,,,,,,,,,,image,/objects/acm_066.png,/objects/acm_066.png,/objects/acm_066.png,,,,,,
acm_067,Portait of Carol Waller,Karl Wolfe,,,Oil on Canvas,Sketch for Large Portait of Carol Waller in the Governor's Mansion,ACM.2022.041,13 x 15 in.,,,,,,,,,,,,image,/objects/acm_067.png,/objects/acm_067.png,/objects/acm_067.png,,,,,,
acm_068,Untitled,Bush,,,Acrylic on Canvas,,ACM.2022.042,17 x 14 in.,,,,,,,,,,,,image,/objects/acm_068.png,/objects/acm_068.png,/objects/acm_068.png,,,,,,
acm_069,Untitled,Susan Wellington,,,Watercolor on paper,,ACM.2022.043,12 x 15 in.,,,,,,,,,,,,image,/objects/acm_069.png,/objects/acm_069.png,/objects/acm_069.png,,,,,,
acm_070,Untitled,Laurel Schoolar,,,Watercolor and Pen on Paper,,ACM.2022.044,20.5 x 15 in.,,,,,,,,,,,,image,/objects/acm_070.png,/objects/acm_070.png,/objects/acm_070.png,,,,,,
acm_071,Untitled,Doris Nunn,1963,FALSE,Watercolor on paper,,ACM.1963.002,18.5 x 14.5 in.,,,,,,,,,,,,image,/objects/acm_071.png,/objects/acm_071.png,/objects/acm_071.png,,,,,,
acm_072,Untitled,Gary Walters,,,Watercolor on paper,House,ACM.2022.045,28 x 21 in.,,,,,,,,,,,,image,/objects/acm_072.png,/objects/acm_072.png,/objects/acm_072.png,,,,,,
acm_073,"Ray Scott, Exhibit Chairman MS Art Association",Kenne Ellis,,,Photograph,,ACM.2022.046,13 x 21 in.,,,,,,,,,,,,image,/objects/acm_073.png,/objects/acm_073.png,/objects/acm_073.png,,,,,,
acm_074,Untitled,W Jackson,,,Oil on canvas,,ACM.2022.047,17 x 23 in.,,,,,,,,,,,,image,/objects/acm_074.png,/objects/acm_074.png,/objects/acm_074.png,,,,,,
acm_075,Mrs. W H Waddell,Karl Wolfe,1937,FALSE,Oil on Canvas,,ACM.1937.001,20 x 24 in.,,,,,,,,,,,,image,/objects/acm_075.png,/objects/acm_075.png,/objects/acm_075.png,,,,,,
acm_076,Untitled,J Thigpen,,,Oil on canvas,,ACM.2022.048,23 x 19 in.,,,,,,,,,,,,image,/objects/acm_076.png,/objects/acm_076.png,/objects/acm_076.png,,,,,,
acm_077,Untitled,Mark Jon,1983,FALSE,Oil on canvas,,ACM.1983.001,20 x 16 in.,,,,,,,,,,,,image,/objects/acm_077.png,/objects/acm_077.png,/objects/acm_077.png,,,,,,
acm_078,Untitled,C S Langston,2007,FALSE,Oil on canvas,,ACM.2007.005,18 x 24 in.,,,,,,,,,,,,image,/objects/acm_078.png,/objects/acm_078.png,/objects/acm_078.png,,,,,,
acm_079,Springtime,Billy Bacon,1988,FALSE,Oil on Canvas,,ACM.1988.002,20 x 16 in.,,,,,,,,,,,,image,/objects/acm_079.png,/objects/acm_079.png,/objects/acm_079.png,,,,,,
acm_080,Untitled,Charles Guess,,,Oil on Canvas,,ACM.2022.049,24 x 30 in.,,,,,,,,,,,,image,/objects/acm_080.png,/objects/acm_080.png,/objects/acm_080.png,,,,,,
acm_081,Untitled,Julia Scales,1985,FALSE,Oil on Canvas,,ACM.1985.002,24 x 30in.,,,,,,,,,,,,image,/objects/acm_081.png,/objects/acm_081.png,/objects/acm_081.png,,,,,,
acm_082,Untitled,Norman,1982,FALSE,Oil on Canvas,,ACM.1982.002,24 X 20 in.,,,,,,,,,,,,image,/objects/acm_082.png,/objects/acm_082.png,/objects/acm_082.png,,,,,,
acm_083,Untitled,Sam McCain,,,Oil on Canvas,,ACM.2022.050,23 x 35 in.,,,,,,,,,,,,image,/objects/acm_083.png,/objects/acm_083.png,/objects/acm_083.png,,,,,,
acm_084,Josh Halbert Gardens,Alfred Nichols,,,Oil on Canvas,,ACM.2022.051,38 x 40 in.,,,,,,,,,,,,image,/objects/acm_084.png,/objects/acm_084.png,/objects/acm_084.png,,,,,,
acm_085,Untitled,Eyd Kazert,,,Photograph,,ACM.2022.052,11 x 14 in.,,,,,,,,,,,,image,/objects/acm_085.png,/objects/acm_085.png,/objects/acm_085.png,,,,,,
acm_086,Potrait of Andew Jackson,Karl Wolfe,1965,FALSE,Oil on Canvas,,ACM.1965.001,41 x 65 in.,,,,,,,,,,,,image,/objects/acm_086.png,/objects/acm_086.png,/objects/acm_086.png,,,,,,
acm_087,Boats,Mildred Nungester Wolfe,1942,FALSE,Watercolor on Paper,,ACM.1942.001,22 x 18 in.,,,,,,,,,,,,image,/objects/acm_087.png,/objects/acm_087.png,/objects/acm_087.png,,,,,,
acm_088,Untitled,John Gaddis,c. 1970s,TRUE,Watercolor on Paper,,ACM.1970.001,23 x 17 in.,,,,,,,,,,,,image,/objects/acm_088.png,/objects/acm_088.png,/objects/acm_088.png,,,,,,
acm_089,Untitled,C S Langston,2007,FALSE,Watercolor on satin paper,,ACM.2007.006,64.5 x 29 in.,,,,,,,,,,,,image,/objects/acm_089.png,/objects/acm_089.png,/objects/acm_089.png,,,,,,
acm_090,Untitled,Qasim,,,,,ACM.2022.053,12 x 9 in.,,,,,,,,,,,,image,/objects/acm_090.png,/objects/acm_090.png,/objects/acm_090.png,,,,,,
acm_091,Italian Church,Yvette Sturgis,,,Oil on canvas,,ACM.2022.054,11 x 14 in.,,,,,,,,,,,,image,/objects/acm_091.png,/objects/acm_091.png,/objects/acm_091.png,,,,,,
acm_092,Untitled,S Dennis,,,Watercolor on Paper/ Maybe a print,,ACM.2022.055,12 x 9 in.,,,,,,,,,,,,image,/objects/acm_092.png,/objects/acm_092.png,/objects/acm_092.png,,,,,,
acm_093,Untitled,C S Langston,2005,FALSE,Watercolor on Paper,,ACM.2005.001,15 x 12 in.,,,,,,,,,,,,image,/objects/acm_093.png,/objects/acm_093.png,/objects/acm_093.png,,,,,,
acm_094,Stokeisa,Nancy Looper Gilbert,,,Photograph,,ACM.2022.056,15 x 17 in.,,,,,,,,,,,,image,/objects/acm_094.png,/objects/acm_094.png,/objects/acm_094.png,,,,,,
acm_095,Untitled,,1986,FALSE,Watercolor on Paper,Church,ACM.1986.002,8 x 11 in.,,,,,,,,,,,,image,/objects/acm_095.png,/objects/acm_095.png,/objects/acm_095.png,,,,,,
acm_096,Fanfare,Lil Brock Alan,,,Watercolor on Paper,,ACM.2022.057,20 x 14 in.,,,,,,,,,,,,image,/objects/acm_096.png,/objects/acm_096.png,/objects/acm_096.png,,,,,,
acm_097,Gloxenia and Apple,Julia Steadham,,,Watercolor on Paper,,ACM.2022.058,14 x 18 in.,,,,,,,,,,,,image,/objects/acm_097.png,/objects/acm_097.png,/objects/acm_097.png,,,,,,
acm_098,Untitled,Cathy Crockell,,,Oil pastel on paper,,ACM.2022.059,11 x 14 in.,,,,,,,,,,,,image,/objects/acm_098.png,/objects/acm_098.png,/objects/acm_098.png,,,,,,
acm_099,Red Yellow Blue,John Derby,,,Acrylic on canvas board,,ACM.2022.060,18 x 14 in.,,,,,,,,,,,,image,/objects/acm_099.png,/objects/acm_099.png,/objects/acm_099.png,,,,,,
acm_100,Blank Walls,John Derby,,,Oil on canvas board,,ACM.2022.061,20 x 16 in.,,,,,,,,,,,,image,/objects/acm_100.png,/objects/acm_100.png,/objects/acm_100.png,,,,,,
acm_101,Potrait,,,,Oil on canvas board,,ACM.2022.062,18 x 24 in.,,,,,,,,,,,,image,/objects/acm_101.png,/objects/acm_101.png,/objects/acm_101.png,,,,,,
acm_102,Potrait,,,,Oil on canvas board,,ACM.2022.063,16 x 20 in.,,,,,,,,,,,,image,/objects/acm_102.png,/objects/acm_102.png,/objects/acm_102.png,,,,,,
acm_103,Potrait,,,,Acrylic on wood board,,ACM.2022.064,18 x 22 in.,,,,,,,,,,,,image,/objects/acm_103.png,/objects/acm_103.png,/objects/acm_103.png,,,,,,
acm_104,Potrait,,,,Oil on wood board,,ACM.2022.065,20 x 24 in.,,,,,,,,,,,,image,/objects/acm_104.png,/objects/acm_104.png,/objects/acm_104.png,,,,,,
acm_105,Blond in Lavender,John Derby Kohl,,,Oil on wood board,,ACM.2022.066,21 x 24 in.,,,,,,,,,,,,image,/objects/acm_105.png,/objects/acm_105.png,/objects/acm_105.png,,,,,,
acm_106,Untitled,John Derby Kohl,,,Watercolor on paper,,ACM.2022.067,18 x 22 in.,,,,,,,,,,,,image,/objects/acm_106.png,/objects/acm_106.png,/objects/acm_106.png,,,,,,
acm_107,Pat Fordyce,B A Dudley,1993,FALSE,Oil on canvas,,ACM.1993.001,48 x 40 in.,,,,,,,,,,,,image,/objects/acm_107.png,/objects/acm_107.png,/objects/acm_107.png,,,,,,
acm_108,Thomas Gayle,,1926,FALSE,Oil on canvas,,ACM.1926.001,16 x 20 in.,,,,,,,,,,,,image,/objects/acm_108.png,/objects/acm_108.png,/objects/acm_108.png,,,,,,
acm_109,Yvette Sturgis,,,,Oil on canvas,,ACM.2022.068,24 x 30 in.,,,,,,,,,,,,image,/objects/acm_109.png,/objects/acm_109.png,/objects/acm_109.png,,,,,,
acm_110,Still Life with Brass Bowl,Doric Hakes,,,Oil on canvas,,ACM.2022.069,12 x 12 in.,,,,,,,,,,,,image,/objects/acm_110.png,/objects/acm_110.png,/objects/acm_110.png,,,,,,
acm_111,Untitled,Effiar?,,,Oil on canvas,,ACM.2022.070,24 x 22 in.,,,,,,,,,,,,image,/objects/acm_111.png,/objects/acm_111.png,/objects/acm_111.png,,,,,,
acm_112,Untitled,A. Seak,,,Watercolor on Paper,,ACM.2022.071,18 x 16 in.,,,,,,,,,,,,image,/objects/acm_112.png,/objects/acm_112.png,/objects/acm_112.png,,,,,,
acm_113,Italian Church II,Yvette Sturgis,,,Oil on canvas,,ACM.2022.072,11 x 14 in.,,,,,,,,,,,,image,/objects/acm_113.png,/objects/acm_113.png,/objects/acm_113.png,,,,,,
acm_114,Abstract,Lisa Paris,,,Oil on Canvas,,ACM.2022.073,24 x 18 in.,,,,,,,,,,,,image,/objects/acm_114.png,/objects/acm_114.png,/objects/acm_114.png,,,,,,
acm_115,Spring,Andrew Bucci,1980,FALSE,,,ACM.1980.001,36.5 x 48.5 in.,,,Arts Center of Mississippi;Highlights of the Collection,,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_115.jpg,/objects/acm_115.jpg,/objects/acm_115.jpg,,,City of Jackson Permanent Collection,,,
acm_116,Not Gemini,Andrew Cary Young,2023,FALSE,Mixed Media on wood panel,,ACM.2023.001,7 x 13 in.,,,Arts Center of Mississippi;Highlights of the Collection;Mixed Media on wood panel,,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_116.png,/objects/acm_116.png,/objects/acm_116.png,,,City of Jackson Permanent Collection,,,
acm_117,January Daffodils,Anne Enochs,,,Pastel,,ACM.2022.074,19.25 x 25.25 in.,,,Arts Center of Mississippi;Highlights of the Collection;Pastel,,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_117.png,/objects/acm_117.png,/objects/acm_117.png,,,City of Jackson Permanent Collection,,,
acm_118,Untitled,B. Dawson,,,,,ACM.2022.075,18 x 22 in.,,,Arts Center of Mississippi;Highlights of the Collection,,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_118.png,/objects/acm_118.png,/objects/acm_118.png,,,City of Jackson Permanent Collection,,,
acm_120,Autumn,Clo Ann Rabb,,,Oil on rice paper,,ACM.2022.076,39.75 x 30.5 in.,,,Arts Center of Mississippi;Highlights of the Collection;Oil on rice paper,,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_120.png,/objects/acm_120.png,/objects/acm_120.png,,,City of Jackson Permanent Collection,,,
acm_121,Untitled,CS Cangston,2006,FALSE,,,ACM.2006.001,24.75 x 20.75 in.,,,Arts Center of Mississippi;Highlights of the Collection,,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_121.png,/objects/acm_121.png,/objects/acm_121.png,,,City of Jackson Permanent Collection,,,
acm_122,Untitled,E. Wolfe,1962,FALSE,,,ACM.1962.001,26 x 33.75 in.,,,Arts Center of Mississippi;Highlights of the Collection,,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_122.png,/objects/acm_122.png,/objects/acm_122.png,,,City of Jackson Permanent Collection,,,
acm_123,The Woman who Fell to Earth,G.A. McCullough,2000,FALSE,Monotype,,ACM.2000.004,19.5 x 21.5 in.,,,Arts Center of Mississippi;Highlights of the Collection;Monotype,,,,Arts Center of Mississippi,artwork,English,,,image,/objects/acm_123.png,/objects/acm_123.png,/objects/acm_123.png,,,City of Jackson Permanent Collection,,,
acm_124,Catfish,George Berry,,,Wood carving,,ACM.2022.077,,,,Arts Center of Mississippi;Highlights of the Collection;Wood carving,,,,Arts Center of Mississippi,artwork,English,,,record,,,,,,City of Jackson Permanent Collection,,,
